id	SNR	n_genes	n_samples	genes	samples	direction	genes_up	genes_down	gene_indexes	sample_indexes
0	5.151821311950501	8	4	ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009	healthy-6968-p_15 pah-6942-p_9 pah-6958-p_40 ph-lung-6980-p_26	UP	ENSG00000012223|LTF ENSG00000076043|REXO2 ENSG00000118113|MMP8 ENSG00000133048|CHI3L1 ENSG00000164047|CAMP ENSG00000164048|ZNF589 ENSG00000242247|ARFGAP3 ENSG00000283646|LINC02009		3537 4853 7653 13538 15490 15678 16117 16123	7 21 30 49
1	4.772115994992848	3	3	ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B	healthy-6960-p_32 pah-6744-p_2 ph-lung-6754-p_20	UP	ENSG00000115155|OTOF ENSG00000137959|IFI44L ENSG00000183844|FAM3B		4185 11161 16079	6 24 39
2	3.489253503951875	15	3	ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299	healthy-6818-p_59 ph-lung-6748-p_43 ph-lung-6976-p_12	UP	ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299		10168 10739 11283 11349 11742 11824 12688 13564 13969 14896 14969 15118 15417 15991 16063	3 37 48
3	3.4781567793669073	6	20	ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077	healthy-6667-p_49 healthy-6688-p_56 healthy-6743-p_63 healthy-6818-p_59 healthy-6884-p_64 healthy-6935-p_54 pah-6637-p_41 pah-6803-p_50 pah-6875-p_60 pah-6890-p_47 pah-6958-p_40 ph-lung-6662-p_55 ph-lung-6678-p_42 ph-lung-6747-p_46 ph-lung-6748-p_43 ph-lung-6749-p_57 ph-lung-6825-p_52 ph-lung-6885-p_58 ph-lung-6912-p_65 ph-lung-6949-p_66	UP	ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077		12513 12987 13955 14079 16046 16094	2 3 5 9 10 11 13 16 19 21 28 32 33 35 36 37 38 42 43 46
4	3.274252372317413	3	5	ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723	healthy-6884-p_64 pah-6712-p_17 pah-6751-p_24 pah-6904-p_25 ph-lung-6912-p_65	UP	ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723		2631 15656 16124	11 15 25 29 33
5	3.095443210891903	28	4	ENSG00000069956|MAPK6 ENSG00000105722|ERF ENSG00000112715|VEGFA ENSG00000119508|NR4A3 ENSG00000120875|DUSP4 ENSG00000125538|IL1B ENSG00000125812|GZF1 ENSG00000128881|TTBK2 ENSG00000138670|RASGEF1B ENSG00000139722|VPS37B ENSG00000143751|SDE2 ENSG00000146242|TPBG ENSG00000151014|NOCT ENSG00000161835|TAMALIN ENSG00000162772|ATF3 ENSG00000170525|PFKFB3 ENSG00000183628|DGCR6 ENSG00000185022|MAFF ENSG00000196878|LAMB3 ENSG00000228252|COL6A4P2 ENSG00000229447|ENSG00000229447 ENSG00000230701|FBXW4P1 ENSG00000250397|ENSG00000250397 ENSG00000261026|ENSG00000261026 ENSG00000274286|ADRA2B ENSG00000282499|TRBV25-1 ENSG00000286177|ENSG00000286177 ENSG00000287823|ENSG00000287823	pah-6634-p_28 pah-6637-p_41 ph-lung-6678-p_42 ph-lung-6749-p_57	UP	ENSG00000069956|MAPK6 ENSG00000105722|ERF ENSG00000112715|VEGFA ENSG00000119508|NR4A3 ENSG00000120875|DUSP4 ENSG00000125538|IL1B ENSG00000125812|GZF1 ENSG00000128881|TTBK2 ENSG00000138670|RASGEF1B ENSG00000139722|VPS37B ENSG00000143751|SDE2 ENSG00000146242|TPBG ENSG00000151014|NOCT ENSG00000161835|TAMALIN ENSG00000162772|ATF3 ENSG00000170525|PFKFB3 ENSG00000183628|DGCR6 ENSG00000185022|MAFF ENSG00000196878|LAMB3 ENSG00000228252|COL6A4P2 ENSG00000229447|ENSG00000229447 ENSG00000230701|FBXW4P1 ENSG00000250397|ENSG00000250397 ENSG00000261026|ENSG00000261026 ENSG00000274286|ADRA2B ENSG00000282499|TRBV25-1 ENSG00000286177|ENSG00000286177 ENSG00000287823|ENSG00000287823		2652 3081 3955 4251 4842 6831 7033 7037 7122 7237 7277 7363 7431 11013 11375 11825 12082 12201 13585 13769 14095 14391 14407 14742 14918 15354 15919 16023	13 22 36 38
6	3.0851058666466593	12	7	ENSG00000104889|RNASEH2A ENSG00000121101|TEX14 ENSG00000162510|MATN1 ENSG00000184270|H2AC21 ENSG00000198723|TEX45 ENSG00000217275|ENSG00000217275 ENSG00000240023|RPLP0P3 ENSG00000263503|MAPK8IP1P2 ENSG00000267062|ENSG00000267062 ENSG00000284491|THSD8 ENSG00000284797|ENSG00000284797 ENSG00000291174|ENSG00000291174	healthy-6620-p_6 healthy-6667-p_49 pah-6634-p_28 pah-6803-p_50 ph-lung-6678-p_42 ph-lung-6748-p_43 ph-lung-6976-p_12	UP	ENSG00000104889|RNASEH2A ENSG00000121101|TEX14 ENSG00000162510|MATN1 ENSG00000184270|H2AC21 ENSG00000198723|TEX45 ENSG00000217275|ENSG00000217275 ENSG00000240023|RPLP0P3 ENSG00000263503|MAPK8IP1P2 ENSG00000267062|ENSG00000267062 ENSG00000284491|THSD8 ENSG00000284797|ENSG00000284797 ENSG00000291174|ENSG00000291174		10134 13158 13682 14074 14244 14766 15264 15882 16045 16076 16114 16127	0 2 16 22 36 37 48
7	2.714733188367499	3	7	ENSG00000135679|MDM2 ENSG00000136634|IL10 ENSG00000183762|KREMEN1	pah-6875-p_60 pah-6922-p_35 pah-6958-p_40 ph-lung-6747-p_46 ph-lung-6754-p_20 ph-lung-6825-p_52 ph-lung-6932-p_21	UP	ENSG00000135679|MDM2 ENSG00000136634|IL10 ENSG00000183762|KREMEN1		2851 12470 14745	20 21 28 32 39 42 45
8	2.710536424440255	9	3	ENSG00000164776|PHKG1 ENSG00000174059|CD34 ENSG00000224411|HSP90AA2P ENSG00000225231|LINC02470 ENSG00000226419|SLC16A1-AS1 ENSG00000227836|ENSG00000227836 ENSG00000235683|ENSG00000235683 ENSG00000278972|ENSG00000278972 ENSG00000280381|ENSG00000280381	healthy-6818-p_59 ph-lung-6748-p_43 ph-lung-6822-p_18	UP	ENSG00000164776|PHKG1 ENSG00000174059|CD34 ENSG00000224411|HSP90AA2P ENSG00000225231|LINC02470 ENSG00000226419|SLC16A1-AS1 ENSG00000227836|ENSG00000227836 ENSG00000235683|ENSG00000235683 ENSG00000278972|ENSG00000278972 ENSG00000280381|ENSG00000280381		9436 11950 13038 14798 15234 15700 15894 15968 16040	3 37 41
9	2.7026588251806065	2	3	ENSG00000049247|UTS2 ENSG00000241566|IGKV2D-24	pah-6608-p_16 ph-lung-6748-p_43 ph-lung-6825-p_52	UP	ENSG00000049247|UTS2 ENSG00000241566|IGKV2D-24		13350 16129	12 37 42
